account_id,company_name,crm_record_id,customer_status,owner,lifecycle_stage,open_opportunity,last_touch_date,do_not_contact,notes
acc_023,Riverstone Health,crm_acc_023,churned,thomas.chen,churned,false,2026-06-20,false,
acc_024,Silvergrove Advisory,crm_acc_024,customer,priya.nair,customer,true,2026-08-16,false,
acc_025,Summitline Analytics,crm_acc_025,prospect,oliver.bennett,opportunity,true,2026-08-09,false,
acc_026,Terravale Labs,crm_acc_026,prospect,unassigned,lead,false,,false,
acc_027,Vantagefield Collective,crm_acc_027,churned,samira.lee,churned,false,2026-05-11,false,
acc_028,Willowgate Commerce,crm_acc_028,prospect,thomas.chen,opportunity,true,2026-08-21,false,
acc_029,Wintermere Mobility,crm_acc_029,prospect,priya.nair,opportunity,true,2026-08-25,false,
acc_030,Brightpath Services,crm_acc_030,prospect,unassigned,lead,false,2026-07-14,false,
acc_031,Cedarpoint Works,crm_acc_031,customer,alex.morgan,customer,false,2026-08-10,false,
acc_032,Harborstone Networks,crm_acc_032,prospect,samira.lee,opportunity,true,2026-08-14,false,
acc_033,Ironvale Industries,crm_acc_033,not_applicable,unassigned,not_applicable,false,,true,
acc_034,Mapleworks Energy,crm_acc_034,not_applicable,unassigned,not_applicable,false,,true,
acc_035,Noviant Cloud,crm_acc_035,prospect,oliver.bennett,opportunity,true,2026-08-26,false,
acc_036,Oakridge Systems,crm_acc_036,customer,alex.morgan,customer,false,2026-08-25,false,
acc_037,Redwoodline Digital,crm_acc_037,customer,samira.lee,customer,false,2026-08-01,false,
acc_038,Skyward Platforms,crm_acc_038,prospect,unassigned,lead,false,,false,
acc_039,Solstice Health,crm_acc_039,prospect,unassigned,lead,false,,false,
acc_040,Westmere Advisory,crm_acc_040,prospect,unassigned,lead,false,,false,
acc_041,Yarrow Analytics,crm_acc_041,pilot,alex.morgan,opportunity,true,2026-08-18,false,
acc_042,Asterline Labs,crm_acc_042,churned,samira.lee,churned,false,2026-05-26,false,
acc_043,Bluehaven Collective,crm_acc_043,prospect,thomas.chen,opportunity,true,2026-08-12,false,
acc_044,Copperleaf Commerce,crm_acc_044,prospect,unassigned,lead,false,,false,
acc_045,Deltaforge Mobility,crm_acc_045,customer,oliver.bennett,customer,false,2026-08-25,false,
acc_046,Emberfield Services,crm_acc_046,prospect,alex.morgan,opportunity,true,2026-08-24,false,
acc_047,Fableworks Works,crm_acc_047,prospect,unassigned,lead,false,,false,
acc_048,Graniteway Networks,crm_acc_048,prospect,unassigned,lead,false,,false,
acc_049,Juniperlane Industries,crm_acc_049,prospect,priya.nair,opportunity,true,2026-08-13,false,
acc_050,Latticepoint Energy,crm_acc_050,prospect,unassigned,lead,false,,false,
acc_051,Meadowcrest Cloud,crm_acc_051,prospect,unassigned,lead,false,,false,
acc_052,Northstar Systems,crm_acc_052,prospect,unassigned,lead,false,2026-07-08,false,
acc_053,Orbitwell Digital,crm_acc_053,prospect,unassigned,lead,false,,false,
acc_054,Pinebridge Platforms,crm_acc_054,prospect,unassigned,lead,false,2026-07-22,false,
acc_055,Quartzline Health,crm_acc_055,prospect,unassigned,lead,false,,false,
acc_056,Riverstone Advisory,crm_acc_056,customer,alex.morgan,customer,false,2026-08-04,false,
acc_057,Silvergrove Analytics,crm_acc_057,customer,samira.lee,customer,false,2026-08-07,false,
acc_058,Summitline Labs,crm_acc_058,prospect,thomas.chen,opportunity,true,2026-08-26,false,
acc_059,Terravale Collective,crm_acc_059,not_applicable,unassigned,not_applicable,false,,true,
acc_060,Vantagefield Commerce,crm_acc_060,not_applicable,unassigned,not_applicable,false,,true,
acc_061,Willowgate Mobility,crm_acc_061,prospect,unassigned,lead,false,2026-06-21,false,
acc_062,Wintermere Services,crm_acc_062,customer,samira.lee,customer,false,2026-08-22,false,
acc_063,Brightpath Works,crm_acc_063,prospect,thomas.chen,opportunity,true,2026-08-23,false,
acc_064,Cedarpoint Networks,crm_acc_064,prospect,unassigned,lead,false,2026-07-12,false,
acc_065,Harborstone Industries,crm_acc_065,prospect,unassigned,lead,false,,false,
acc_066,Ironvale Energy,crm_acc_066,customer,alex.morgan,customer,false,2026-08-07,false,
acc_067,Mapleworks Cloud,crm_acc_067,customer,samira.lee,customer,false,2026-08-10,false,
acc_068,Noviant Systems,crm_acc_068,prospect,unassigned,lead,false,,false,
acc_069,Oakridge Digital,crm_acc_069,prospect,unassigned,lead,false,,false,
acc_070,Redwoodline Platforms,crm_acc_070,prospect,oliver.bennett,opportunity,true,2026-08-05,false,
acc_071,Skyward Health,crm_acc_071,customer,alex.morgan,customer,false,2026-08-22,false,
acc_072,Solstice Advisory,crm_acc_072,customer,samira.lee,customer,false,2026-08-25,false,
acc_073,Westmere Analytics,crm_acc_073,customer,thomas.chen,customer,false,2026-08-01,false,
acc_074,Yarrow Labs,crm_acc_074,prospect,unassigned,lead,false,,false,
acc_075,Asterline Collective,crm_acc_075,prospect,unassigned,lead,false,,false,
acc_076,Bluehaven Commerce,crm_acc_076,prospect,alex.morgan,opportunity,true,2026-08-06,false,
acc_077,Copperleaf Mobility,crm_acc_077,prospect,unassigned,lead,false,,false,
acc_078,Deltaforge Services,crm_acc_078,customer,thomas.chen,customer,false,2026-08-16,false,
acc_079,Emberfield Works,crm_acc_079,prospect,unassigned,lead,false,,false,
acc_080,Fableworks Networks,crm_acc_080,pilot,oliver.bennett,opportunity,true,2026-08-24,false,
acc_081,Graniteway Industries,crm_acc_081,prospect,unassigned,lead,false,,false,
acc_082,Juniperlane Energy,crm_acc_082,prospect,unassigned,lead,false,,false,
acc_083,Latticepoint Cloud,crm_acc_083,pilot,thomas.chen,opportunity,true,2026-08-12,false,
acc_084,Meadowcrest Systems,crm_acc_084,customer,priya.nair,customer,false,2026-08-07,false,
acc_085,Northstar Digital,crm_acc_085,not_applicable,unassigned,not_applicable,false,,true,
acc_086,Orbitwell Platforms,crm_acc_086,not_applicable,unassigned,not_applicable,false,,true,
acc_087,Pinebridge Health,crm_acc_087,prospect,unassigned,lead,false,,false,
acc_088,Quartzline Advisory,crm_acc_088,pilot,thomas.chen,opportunity,true,2026-08-22,false,
acc_089,Riverstone Analytics,crm_acc_089,prospect,priya.nair,opportunity,true,2026-08-12,false,
acc_090,Silvergrove Labs,crm_acc_090,prospect,unassigned,lead,false,,false,
